PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
20,https://cost-smart-five.vercel.app/blog,,text/html; charset=utf-8,false,404,0,1,false,563,https://cost-smart-five.vercel.app/
0,https://cost-smart-five.vercel.app/in/rent-vs-buy-calculator,,text/html; charset=utf-8,false,404,0,1,false,1,https://cost-smart-five.vercel.app/compare/rent-vs-buy-vs-invest
0,https://cost-smart-five.vercel.app/in/home-loan-calculator,,text/html; charset=utf-8,false,404,0,1,false,2,https://cost-smart-five.vercel.app/compare
